127.0.0.1 - - [15/Sep/2016:09:51:07 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:52:44 +0800] "GET /project/images/partner-logos/panasonic.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:52:44 +0800] "GET /project/images/partner-logos/toyota.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:52:44 +0800] "GET /project/images/partner-logos/GE.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:52:44 +0800] "GET /project/images/partner-logos/oracle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:52:45 +0800] "GET /project/images/dark-logs-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:52:45 +0800] "GET /project/images/partner-logos/intel.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:52:45 +0800] "GET /project/images/partner-logos/sk.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:59:08 +0800] "GET /project/login.jsp HTTP/1.1" 200 7148
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:59:17 +0800] "POST /project/User?action=login HTTP/1.1" 200 5882
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:59:24 +0800] "GET /project/User?action=logout HTTP/1.1" 200 13539
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:59:26 +0800] "GET /project/register.jsp HTTP/1.1" 200 5588
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:59:38 +0800] "POST /project/User?action=add HTTP/1.1" 200 7148
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:59:43 +0800] "POST /project/User?action=login HTTP/1.1" 200 5882
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:59:45 +0800] "GET /project/newProduct.jsp HTTP/1.1" 200 11841
0:0:0:0:0:0:0:1 - - [15/Sep/2016:09:59:58 +0800] "POST /project/Work?action=create&id=9 HTTP/1.1" 200 11847
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:00:05 +0800] "POST /project/Resource?action=add HTTP/1.1" 200 12287
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:00:10 +0800] "POST /project/Resource?action=add HTTP/1.1" 200 12729
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:00:19 +0800] "POST /project/Department?action=add HTTP/1.1" 200 12314
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:00:22 +0800] "POST /project/Department?action=WBS HTTP/1.1" 200 7583
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "POST /project/Department?action=WBS HTTP/1.1" 200 7805
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/css/flat-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/css/style.complete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/images/hexagon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/css/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/js/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/js/flatui-checkbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/js/bootstrap-switch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/js/flatui-radio.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/js/jquery.tagsinput.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/js/jquery.placeholder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/js/jquery.nivo.slider.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/js/over.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/images/searchIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/images/brush.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:01:44 +0800] "GET /project/js/bootstrap-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:02:14 +0800] "GET /project/css/flat-ui-pro.css.map HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "POST /project/Department?action=WBS HTTP/1.1" 200 7805
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/css/flat-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/css/style.complete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/css/myStyle.css HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/images/hexagon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/images/searchIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/images/brush.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/js/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/js/bootstrap-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/js/bootstrap-switch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/js/flatui-checkbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/js/flatui-radio.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/js/jquery.tagsinput.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/js/jquery.placeholder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/js/jquery.nivo.slider.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:56 +0800] "GET /project/js/over.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:04:57 +0800] "GET /project/css/flat-ui-pro.css.map HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:12 +0800] "POST /project/Department?action=WBS HTTP/1.1" 200 7805
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/css/flat-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/css/style.complete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/images/hexagon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/js/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/css/myStyle.css HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/js/bootstrap-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/js/bootstrap-switch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/js/flatui-checkbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/js/flatui-radio.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/js/jquery.tagsinput.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/js/jquery.placeholder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/js/jquery.nivo.slider.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/js/over.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/images/searchIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/images/brush.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:13 +0800] "GET /project/css/flat-ui-pro.css.map HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "POST /project/Department?action=WBS HTTP/1.1" 200 7735
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/css/style.complete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/css/flat-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/css/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/images/hexagon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/js/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/js/bootstrap-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/js/bootstrap-switch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/js/flatui-checkbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/js/flatui-radio.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/js/jquery.placeholder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/js/jquery.tagsinput.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/js/jquery.nivo.slider.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/js/over.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/images/searchIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/images/brush.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:05:47 +0800] "GET /project/css/flat-ui-pro.css.map HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:35 +0800] "POST /project/Department?action=WBS HTTP/1.1" 200 7742
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/css/flat-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/css/style.complete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/css/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/images/hexagon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/images/searchIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/images/brush.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/js/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/js/bootstrap-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/js/bootstrap-switch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/js/flatui-checkbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/js/flatui-radio.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/js/jquery.nivo.slider.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/js/jquery.tagsinput.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/js/jquery.placeholder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/js/over.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:06:36 +0800] "GET /project/css/flat-ui-pro.css.map HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "POST /project/Department?action=WBS HTTP/1.1" 200 7745
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/css/flat-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/css/style.complete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/css/myStyle.css HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/js/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/js/jquery.tagsinput.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/js/flatui-radio.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/js/flatui-checkbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/js/bootstrap-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/js/jquery.placeholder.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/js/jquery.nivo.slider.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/js/application.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/js/over.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/images/brush.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/images/searchIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/images/hexagon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:19 +0800] "GET /project/js/bootstrap-switch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:07:20 +0800] "GET /project/css/flat-ui-pro.css.map HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:12:51 +0800] "POST /project/Task?action=add HTTP/1.1" 200 7384
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:12:51 +0800] "GET /project/css/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:12:51 +0800] "GET /project/css/flat-ui-pro.css.map HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:13:27 +0800] "POST /project/Task?action=add HTTP/1.1" 200 7360
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:13:27 +0800] "GET /project/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:13:27 +0800] "GET /project/css/flat-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:13:27 +0800] "GET /project/css/style.complete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:13:27 +0800] "GET /project/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:13:27 +0800] "GET /project/css/myStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:13:27 +0800] "GET /project/images/hexagon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:13:27 +0800] "GET /project/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:13:27 +0800] "GET /project/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:13:27 +0800] "GET /project/js/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 304 -
